2,40,15893,15852,
3,60,15895,15852,
4,80,15899,15852,
5,100,15902,15853,
6,120,15903,15853,
7,140,15889,15846,
8,160,15859,15834,
9,180,15831,15822,
10,200,15811,15815,
11,221,15800,15811,
12,240,15797,15811,
13,261,15798,15810,
14,281,15799,15810,
15,301,15800,15810,
16,321,15800,15810,
17,341,15799,15810,
18,361,15800,15810,
19,382,15803,15811,
20,401,15809,15813,
21,422,15816,15814,
22,441,15821,15817,
23,462,15825,15817,
24,486,15827,15817,
25,502,15828,15817,
26,522,15829,15817,
27,542,15831,15818,
28,562,15835,15820,
29,582,15839,15822,
30,603,15845,15824,
31,622,15851,15827,
32,643,15859,15830,
33,662,15867,15833,
34,683,15874,15835,
35,703,15882,15839,
36,723,15890,15842,
37,743,15897,15844,
38,763,15902,15846,
39,783,15907,15848,
40,804,15912,15851,
41,823,15918,15854,
42,844,15924,15856,
43,863,15930,15858,
44,884,15937,15861,
45,904,15944,15864,
46,924,15954,15867,
47,944,15956,15868,
48,964,15940,15860,
49,984,15905,15843,
50,1007,15870,15828,
51,1024,15847,15818,
52,1045,15836,15814,
53,1064,15835,15814,
54,1085,15837,15814,
55,1105,15839,15815,
56,1125,15839,15815,
57,1145,15838,15814,
58,1165,15837,15813,
59,1185,15838,15813,
60,1205,15842,15816,
61,1225,15848,15818,
62,1245,15854,15820,
63,1265,15858,15822,
64,1286,15862,15822,
65,1306,15865,15823,
66,1326,15869,15824,
67,1346,15873,15825,
68,1366,15878,15826,
69,1386,15885,15828,
70,1406,15893,15831,
71,1426,15901,15834,
72,1446,15910,15837,
73,1466,15918,15840,
74,1486,15926,15844,
75,1506,15935,15847,
76,1528,15942,15850,
77,1547,15949,15852,
78,1567,15956,15854,
79,1587,15962,15856,
80,1607,15968,15859,
81,1627,15973,15861,
82,1647,15979,15864,
83,1667,15985,15867,
84,1687,15993,15869,
85,1708,16002,15873,
86,1727,16012,15876,
87,1748,16021,15880,
88,1767,16024,15882,
89,1788,16008,15874,
90,1808,15964,15854,
91,1828,15918,15834,
92,1848,15888,15821,
93,1868,15871,15815,
94,1888,15868,15814,
95,1908,15870,15815,
96,1928,15873,15816,
97,1949,15877,15816,
98,1968,15879,15817,
99,1989,15881,15818,
100,2009,15885,15819,
101,2029,15893,15822,
102,2049,15903,15825,
103,2069,15911,15828,
104,2089,15917,15831,
105,2109,15921,15832,
106,2129,15925,15833,
107,2149,15928,15834,
108,2170,15931,15835,
109,2189,15933,15836,
110,2210,15937,15837,
111,2230,15943,15840,
112,2250,15949,15843,
113,2270,15955,15845,
